,X,Y,Area,Perimeter,Radius,Circularity,Convexity,Inertia,Graymean,Graystd,Repimean,Repistd,Gepimean,Gepistd,Bepimean,Bepistd,X_rawImage,Y_rawImage,plate_barcode,colony_index,Y_concat,pickStatus,pickIndexGroup,pickIndexPlate
0,373,940,139.0,46.14213538169861,7.245606220104248,0.8204068655947477,0.9586206896551724,0.9993040723363744,149.5543975830078,0.13721933960914612,60.14288330078125,0.038402460515499115,56.407772064208984,0.03392232209444046,73.09308624267578,0.055107053369283676,523,1090,H2M1,0,1040,pick,0,0
1,1490,936,119.5,42.72792184352875,6.082762530298219,0.8225346994881201,0.9598393574297188,0.9875779783303602,143.53875732421875,0.14450034499168396,56.14095687866211,0.07220302522182465,53.48504638671875,0.05843152478337288,71.21705627441406,0.05113912373781204,1640,1086,H2M1,1,1036,not_pick,NA,NA
2,1027,929,52.0,27.656854152679443,4.47213595499958,0.854294575467492,0.9811320754716981,0.9954872210248846,160.30853271484375,0.04051842540502548,58.69196701049805,0.033852316439151764,56.200321197509766,0.03554866090416908,74.64918518066406,0.027907390147447586,1177,1079,H2M1,2,1029,bad_pick,NA,NA
3,642,918,1868.5,180.95331704616547,24.062409858963605,0.7170837304285621,0.9119082479258175,0.9986644421560028,133.12327575683594,0.13155028223991394,64.58038330078125,0.04539253190159798,59.65733337402344,0.04138588905334473,79.80091094970703,0.08036506921052933,792,1068,H2M1,3,1018,not_pick,NA,NA
4,582,859,981.0,121.25483286380768,17.46424919657298,0.8384569264103993,0.9631811487481591,0.9999532400821685,138.3194122314453,0.08862538635730743,63.84185028076172,0.04773080721497536,58.552223205566406,0.03812733665108681,78.30953216552734,0.06246568635106087,732,1009,H2M1,4,959,not_pick,NA,NA
5,86,872,3984.5,243.23758792877197,36.0,0.8462960601084195,0.970172875578281,0.9999989431508588,128.1179656982422,0.12861546874046326,67.18466186523438,0.05265297368168831,64.093505859375,0.05785861611366272,87.79823303222656,0.13231085240840912,236,1022,H2M1,5,972,pick,1,1
6,1383,846,2769.5,207.4385985136032,29.342722338157188,0.8087831492423859,0.9583044982698962,0.9999938103879074,126.38676452636719,0.13812315464019775,63.977542877197266,0.04943588748574257,59.70195007324219,0.04841981828212738,82.91923522949219,0.12364232540130615,1533,996,H2M1,6,946,pick,2,2
7,968,827,1822.0,165.396968126297,24.041630560342615,0.8369570040356706,0.9642762635617889,0.999994980587904,128.43150329589844,0.13283051550388336,64.55115509033203,0.0457618311047554,59.9373779296875,0.0395171083509922,81.85523986816406,0.13304869830608368,1118,977,H2M1,7,927,not_pick,NA,NA
8,406,818,2106.5,178.4680358171463,25.942243542145693,0.8310945600919851,0.9634118454150469,0.9994865935290108,132.29949951171875,0.12958268821239471,62.1970100402832,0.047658056020736694,58.47342300415039,0.04311289265751839,80.21424865722656,0.10135223716497421,556,968,H2M1,8,918,not_pick,NA,NA
9,222,793,90.5,39.41421353816986,7.211102550927978,0.7320701734673712,1.0,0.9987724115372825,162.3839874267578,0.031013531610369682,57.775733947753906,0.03498348221182823,56.13488006591797,0.03350494056940079,72.51790618896484,0.03963158279657364,372,943,H2M1,9,893,bad_pick,NA,NA
